fdc_id,nombre,calories,carbs,fat,fiber,protein,sugar
167512,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, Refrigerated Dough",307.0,41.18,13.24,1.2,5.88,5.88
167513,"Pillsbury, Cinnamon Rolls With Icing, Refrigerated Dough",330.0,53.42,11.27,1.4,4.34,21.34
167514,"Kraft Foods, Shake N Bake Original Recipe, Coating For Pork, Dry",377.0,79.8,3.7,0.0,6.1,0.0
167515,"George Weston Bakeries, Thomas English Muffins",232.0,46.0,1.8,0.0,8.0,0.0
167516,"Waffles, Buttermilk, Frozen, Ready-To-Heat",273.0,41.05,9.22,2.2,6.58,4.3
167517,"Waffle, Buttermilk, Frozen, Ready-To-Heat, Toasted",309.0,48.39,9.49,2.6,7.42,4.41
167518,"Waffle, Buttermilk, Frozen, Ready-To-Heat, Microwaved",289.0,44.16,9.4,2.4,6.92,4.5
167519,"Waffle, Plain, Frozen, Ready-To-Heat, Microwave",298.0,45.41,9.91,2.4,6.71,5.04
167520,"Pie Crust, Cookie-Type, Graham Cracker, Ready Crust",501.0,64.3,24.83,1.9,5.1,18.13
167521,"Pie Crust, Cookie-Type, Chocolate, Ready Crust",484.0,64.48,22.42,2.7,6.08,26.31
167522,"Pie, Dutch Apple, Commercially Prepared",290.0,44.54,11.5,1.6,2.17,22.02
167523,"Pie Crust, Deep Dish, Frozen, Unbaked, Made With Enriched Flour",468.0,46.79,28.74,1.4,5.52,0.0
167524,"Waffles, Chocolate Chip, Frozen, Ready-To-Heat",297.0,45.68,10.1,1.5,5.8,13.1
167525,"Tostada Shells, Corn",474.0,64.43,23.38,5.8,6.15,0.0
167526,"Bread, Salvadoran Sweet Cheese (Quesadilla Salvadorena)",374.0,47.84,17.12,0.7,7.12,24.9
167527,"Bread, Pound Cake Type, Pan De Torta Salvadoran",390.0,51.29,17.45,1.7,7.06,18.1
167528,"Pastry, Pastelitos De Guava (Guava Pastries)",379.0,47.76,18.5,2.2,5.48,17.0
167529,"Crackers, Snack, Goya Crackers",433.0,64.35,13.35,3.8,14.25,2.35
167530,"Crackers, Cream, Gamesa Sabrosas",484.0,64.55,20.37,2.4,7.01,9.37
167531,"Crackers, Cream, La Moderna Rikis Cream Crackers",464.0,64.88,19.5,2.4,7.19,10.41
167532,"Bread, White Wheat",238.0,43.91,2.15,9.2,10.66,5.0
167533,"Bagels, Wheat",250.0,48.89,1.53,4.1,10.2,6.12
167534,"Cream Puff, Eclair, Custard Or Cream Filled, Iced",334.0,37.43,18.52,0.9,4.41,22.05
167535,"Tortillas, Ready-To-Bake Or -Fry, Flour, Shelf Stable",297.0,49.27,7.58,2.4,8.01,2.66
167536,"Snacks, Beef Jerky, Chopped And Formed",410.0,11.0,25.6,1.8,33.2,9.0
167537,"Snacks, Corn-Based, Extruded, Chips, Plain",539.0,57.27,33.36,4.0,6.17,0.27
167538,"Snacks, Corn-Based, Extruded, Chips, Barbecue-Flavor",523.0,56.2,32.7,5.2,7.0,0.0
167539,"Snacks, Corn-Based, Extruded, Cones, Plain",510.0,62.9,26.9,1.1,5.8,0.0
167540,"Snacks, Fruit Leather, Pieces",359.0,82.82,2.68,0.0,1.0,57.58
167541,"Snacks, Fruit Leather, Rolls",371.0,85.8,3.0,0.0,0.1,49.16
167542,"Snacks, Granola Bars, Hard, Plain",471.0,64.4,19.8,5.3,10.1,28.57
167543,"Snacks, Granola Bars, Hard, Almond",495.0,62.0,25.5,4.8,7.7,0.0
167544,"Snacks, Granola Bars, Soft, Uncoated, Raisin",448.0,66.4,17.8,4.2,7.6,0.0
167545,"Snacks, Granola Bars, Soft, Coated, Milk Chocolate Coating, Chocolate Chip",466.0,63.8,24.9,3.4,5.8,0.0
167546,"Candies, Honey-Combed, With Peanut Butter",473.0,67.41,20.18,1.9,8.72,62.68
167547,"Snacks, Granola Bars, Soft, Coated, Milk Chocolate Coating, Peanut Butter",508.0,53.4,31.1,2.8,10.2,23.74
167548,"Snacks, Granola Bars, Soft, Uncoated, Peanut Butter And Chocolate Chip",432.0,62.2,20.0,4.2,9.8,0.0
167549,"Snacks, Popcorn, Oil-Popped, Microwave, Regular Flavor, No Trans Fat",583.0,45.06,43.55,8.1,7.29,0.46
167550,"Snacks, Popcorn, Cakes",384.0,80.1,3.1,2.9,9.7,0.72
167551,"Snacks, Popcorn, Caramel-Coated, With Peanuts",400.0,80.7,7.8,3.8,6.4,45.36
167552,"Snacks, Popcorn, Caramel-Coated, Without Peanuts",431.0,79.1,12.8,5.2,3.8,53.19
167553,"Snacks, Potato Chips, Made From Dried Potatoes, Reduced Fat",502.0,64.76,26.14,3.2,4.56,0.63
167554,"Snacks, Potato Chips, Made From Dried Potatoes, Sour-Cream And Onion-Flavor",547.0,51.3,37.0,1.2,6.6,0.0
167555,"Snacks, Pretzels, Hard, Plain, Salted",384.0,80.39,2.93,3.4,10.04,2.21
167556,"Snacks, Pretzels, Hard, Confectioner'S Coating, Chocolate-Flavor",457.0,70.9,16.7,2.4,7.5,38.8
167557,"Snacks, Rice Cakes, Brown Rice, Sesame Seed",392.0,81.5,3.8,5.4,7.6,0.0
167558,"Snacks, Tortilla Chips, Plain, White Corn, Salted",472.0,67.78,20.68,5.4,7.1,0.78
167559,"Snacks, Tortilla Chips, Nacho Cheese",519.0,60.81,27.42,5.1,7.36,2.59
167560,"Snacks, Tortilla Chips, Ranch-Flavor",501.0,62.74,24.63,4.0,7.19,3.03
167561,"Snacks, Trail Mix, Regular",462.0,44.9,29.4,0.0,13.8,0.0
167562,"Candies, Almond Joy Candy Bar",479.0,59.51,26.93,5.0,4.13,48.34
167563,"Candies, Twizzlers Cherry Bites",338.0,79.38,1.7,0.1,2.97,0.0
167564,"Candies, Nestle, Bit-O'-Honey Candy Chews",388.0,80.89,7.5,0.2,2.0,48.0
167565,"Candies, Nestle, Butterfinger Bar",459.0,72.9,18.9,2.0,5.4,45.9
167566,"Candies, Caramels, Chocolate-Flavor Roll",387.0,87.73,3.31,0.1,1.59,56.32
167567,"Baking Chocolate, Unsweetened, Liquid",472.0,36.2,47.7,18.1,12.1,0.0
167568,"Baking Chocolate, Unsweetened, Squares",642.0,28.42,52.31,16.6,14.32,0.91
167569,"Candies, Confectioner'S Coating, Yogurt",522.0,63.94,27.0,0.0,5.87,62.36
167570,"Candies, Confectioner'S Coating, Peanut Butter",529.0,46.88,29.8,5.0,18.3,38.3
167571,"Candies, White Chocolate",539.0,59.24,32.09,0.2,5.87,59.0
167572,"Ice Creams, Vanilla, Light",180.0,29.46,4.83,0.3,4.78,22.12
167573,"Ice Creams, Vanilla, Rich",249.0,22.29,16.2,0.0,3.5,20.65
