alimento,veces,gramos_total,cal_total
"Beef, Loin, Top Loin Steak, Boneless, Lip-On, Separable Lean Only, Trimmed To 1/8"" Fat, All Grades, Raw",1,400.0,572.0
"Beef, Loin, Top Loin Steak, Boneless, Lip-On, Separable Lean Only, Trimmed To 1/8"" Fat, Choice, Raw",1,400.0,596.0
"Fish, Mackerel, Jack, Canned, Drained Solids",1,400.0,624.0
"Chicken, Dark Meat, Drumstick, Meat Only, With Added Solution, Cooked, Braised",1,400.0,596.0
"Popeyes, Mild Chicken Strips, Analyzed 2006",1,270.5,733.1
"Denny'S, Chicken Strips",1,248.5,733.1
"Lamb, New Zealand, Imported, Frozen, Shoulder, Whole (Arm And Blade), Separable Lean Only, Cooked, Braised",1,220.5,628.4
"Beans, Cranberry (Roman), Mature Seeds, Raw",1,218.8,733.0
"Applebee'S, Chicken Tenders Platter",1,211.5,628.2
"Beans, Pinto, Mature Seeds, Raw (Includes Foods For Usda'S Food Distribution Program)",1,211.2,732.9
"Restaurant, Family Style, Chicken Fingers, From Kid'S Menu",1,204.7,628.4
"Fast Foods, Chicken Tenders",1,193.2,523.6
"Kfc, Crispy Chicken Strips",1,191.1,523.6
"Beans, Great Northern, Mature Seeds, Raw (Includes Foods For Usda'S Food Distribution Program)",1,185.3,628.2
"Beans, French, Mature Seeds, Raw",1,183.2,628.4
"Hyacinth Beans, Mature Seeds, Raw",1,182.6,628.1
"Seaweed, Spirulina, Dried",1,180.5,523.4
"Burger King, Chicken Strips",1,179.3,523.6
"Beans, Kidney, California Red, Mature Seeds, Raw",1,158.7,523.7
"Broadbeans (Fava Beans), Mature Seeds, Raw",1,153.5,523.4
"Beans, Yellow, Mature Seeds, Raw",1,151.8,523.7
"Beef, Loin, Top Loin Steak, Boneless, Lip Off, Separable Lean Only, Trimmed To 0"" Fat, All Grades, Raw",1,146.5,209.5
"Corned Beef Loaf, Jellied",1,136.9,209.5
"Beans, Small White, Mature Seeds, Raw",1,80.0,268.8
"Fish, Cod, Atlantic, Dried And Salted",1,80.0,232.0
"Mollusks, Whelk, Unspecified, Cooked, Moist Heat",1,80.0,220.0
"Restaurant, Family Style, Chicken Tenders",1,80.0,241.6
"Seeds, Lotus Seeds, Dried",1,80.0,265.6
