dia,comida,nombre,gramos,calories,protein,carbs,fat,fiber
Lunes,Desayuno,"Burger King, Chicken Strips",179.3,523.6,32.6,36.7,27.3,2.3
Lunes,Almuerzo,"Beans, Cranberry (Roman), Mature Seeds, Raw",218.8,733.0,50.4,131.4,2.7,54.0
Lunes,Cena,"Lamb, New Zealand, Imported, Frozen, Shoulder, Whole (Arm And Blade), Separable Lean Only, Cooked, Braised",220.5,628.4,75.1,0.0,34.2,0.0
Lunes,Snack,"Corned Beef Loaf, Jellied",136.9,209.5,31.4,0.0,8.4,0.0
Martes,Desayuno,"Fast Foods, Chicken Tenders",193.2,523.6,37.1,33.3,27.0,2.3
Martes,Almuerzo,"Popeyes, Mild Chicken Strips, Analyzed 2006",270.5,733.1,51.9,52.2,35.2,2.2
Martes,Cena,"Beans, French, Mature Seeds, Raw",183.2,628.4,34.5,117.4,3.7,46.2
Martes,Snack,"Beef, Loin, Top Loin Steak, Boneless, Lip Off, Separable Lean Only, Trimmed To 0"" Fat, All Grades, Raw",146.5,209.5,33.8,0.0,8.3,0.0
Miércoles,Desayuno,"Kfc, Crispy Chicken Strips",191.1,523.6,38.7,26.1,29.5,2.7
Miércoles,Almuerzo,"Denny'S, Chicken Strips",248.5,733.1,47.6,54.7,36.0,2.7
Miércoles,Cena,"Beans, Great Northern, Mature Seeds, Raw (Includes Foods For Usda'S Food Distribution Program)",185.3,628.2,40.5,115.6,2.1,37.4
Miércoles,Snack,"Fish, Cod, Atlantic, Dried And Salted",80.0,232.0,50.3,0.0,1.9,0.0
Jueves,Desayuno,"Broadbeans (Fava Beans), Mature Seeds, Raw",153.5,523.4,40.1,89.5,2.3,38.4
Jueves,Almuerzo,"Beef, Loin, Top Loin Steak, Boneless, Lip-On, Separable Lean Only, Trimmed To 1/8"" Fat, All Grades, Raw",400.0,572.0,92.3,0.0,22.7,0.0
Jueves,Cena,"Restaurant, Family Style, Chicken Fingers, From Kid'S Menu",204.7,628.4,38.2,38.4,35.7,2.3
Jueves,Snack,"Restaurant, Family Style, Chicken Tenders",80.0,241.6,15.1,15.4,13.3,0.7
Viernes,Desayuno,"Beans, Yellow, Mature Seeds, Raw",151.8,523.7,33.4,92.1,3.9,38.1
Viernes,Almuerzo,"Chicken, Dark Meat, Drumstick, Meat Only, With Added Solution, Cooked, Braised",400.0,596.0,92.0,0.0,25.3,0.0
Viernes,Cena,"Applebee'S, Chicken Tenders Platter",211.5,628.2,41.5,38.0,34.3,2.1
Viernes,Snack,"Beans, Small White, Mature Seeds, Raw",80.0,268.8,16.9,49.8,0.9,19.9
Sábado,Desayuno,"Beans, Kidney, California Red, Mature Seeds, Raw",158.7,523.7,38.7,94.9,0.4,39.5
Sábado,Almuerzo,"Fish, Mackerel, Jack, Canned, Drained Solids",400.0,624.0,92.8,0.0,25.2,0.0
Sábado,Cena,"Hyacinth Beans, Mature Seeds, Raw",182.6,628.1,43.6,110.9,3.1,46.7
Sábado,Snack,"Mollusks, Whelk, Unspecified, Cooked, Moist Heat",80.0,220.0,38.1,12.4,0.6,0.0
Domingo,Desayuno,"Seaweed, Spirulina, Dried",180.5,523.4,103.7,43.1,13.9,6.5
Domingo,Almuerzo,"Beans, Pinto, Mature Seeds, Raw (Includes Foods For Usda'S Food Distribution Program)",211.2,732.9,45.2,132.1,2.6,32.7
Domingo,Cena,"Beef, Loin, Top Loin Steak, Boneless, Lip-On, Separable Lean Only, Trimmed To 1/8"" Fat, Choice, Raw",400.0,596.0,91.7,0.0,25.4,0.0
Domingo,Snack,"Seeds, Lotus Seeds, Dried",80.0,265.6,12.3,51.6,1.6,0.0
